status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
228735667216_10153716212282217,b'Why are pictures of safety pin wearers being shared on Twitter?',b'The humble safety pin makes an anti-racism point',link,b'http://bbc.in/29pGLKs',2016-06-29 13:20:09,1415,152,260,1325,76,6,4,2,2
228735667216_10153716133537217,b'A robot salamander?',b'BBC Technology & Tech Tent',video,b'https://www.facebook.com/bbctechtent/videos/547227012149185/',2016-06-29 12:45:18,477,32,0,433,11,31,2,0,0
228735667216_10153716059592217,b'From X-ray screening and metal detectors to the 3-1-1 rule.',b'A brief history of airport security',link,b'http://bbc.in/29pwY7o',2016-06-29 12:14:38,502,33,32,493,2,5,0,1,1
228735667216_10153715925012217,"b""They say it's a non-negotiable condition for access to the single market.""",b'EU leaders: No compromise on freedom of movement',link,b'http://bbc.in/292IQe1',2016-06-29 11:15:33,5346,1032,995,4516,215,19,534,17,47
228735667216_10153715861482217,"b'""This is like a kaleidoscope that has not yet settled.""'",b'How Gibraltar could opt to remain in the EU',link,b'http://bbc.in/294v3po',2016-06-29 10:43:20,1227,148,69,1170,18,7,29,2,1
228735667216_10153715820072217,"b""A stark warning ahead of Brazil's Olympic Games.""","b""Rio police: 'Welcome to Hell'""",link,b'http://bbc.in/29auqw5',2016-06-29 10:20:58,7979,419,1761,5693,39,1434,509,242,63
228735667216_10153715693052217,"b""We're were live in Ottawa where President Obama has just landed, to meet with the leaders of Canada and Mexico, for the #ThreeAmigos summit. It comes as Canada's Prime Minister Justin Trudeau announced he'll lift visa restrictions for Mexicans, to strengthen ties between Canada and Mexico. The BBC's Rajini Vaidyanathan is speaking with young people from Mexico and Canada about the relationship between the three nations. Send us your questions below.""","b'LIVE: Talking to young people about the ""Three Amigos"" summit ...'",video,b'https://www.facebook.com/bbcnews/videos/10153715693052217/',2016-06-29 09:43:20,8250,1691,700,7365,566,128,60,32,99
228735667216_10153715652982217,b'#PrayForTurkey',b'Show of solidarity after Istanbul attack',link,b'http://bbc.in/29atRCE',2016-06-29 09:02:02,61004,1453,11229,50803,2005,29,54,7981,134
228735667216_10153715617922217,"b""Is the damage bigger than Britain's contribution to the EU budget?""",b'What has Brexit done to the economy?',link,b'http://bbc.in/292nrSr',2016-06-29 08:42:27,2028,534,231,1791,8,15,101,78,35
228735667216_10153715552762217,b'Were they the first Indian couple to scale Mount Everest?',"b""Indian climbers' summit claim investigated""",link,b'http://bbc.in/294HipB',2016-06-29 08:04:30,1224,66,31,1183,10,8,21,1,1
228735667216_10153715523717217,"b'He played on legendary songs including Heartbreak Hotel, Blue Suede Shoes and Jailhouse Rock.'",b'Elvis guitarist Scotty Moore dies aged 84',link,b'http://bbc.in/294qBuw',2016-06-29 07:49:43,1950,67,228,1601,17,5,0,327,0
